average_per_theatre	gross	rank	production_budget	runtime	theaters	ratio	genre	Action	Drama	Comedy	Documentary	Foreign	Horror	Sci-Fi	Romance	Animation	release_year	actors	1	2	3	4	actors_sum	directors	dire_sum	distributor	dist_sum	G	GP	NC-17	Not Yet Rated	PG	PG-13	R	Unknown	Unrated
11768.7266891	16287427.2791	1.0	0.0	96.0	1384.0	5931	Fantasy Comedy	0	0	1	0	0	0	0	0	0	32	George Burns	0	0	0	0	0	Paul Bogart	0	Warner Bros.	4159554338	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
3807.72963043	3807.72963043	89.0	0.0	119.0	1.0	0	Foreign	0	0	0	0	1	0	0	0	0	13		0	0	0	0	0		0	Palm	5090590	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
9213.50520808	33307671.6587	2.0	80000000.0	102.0	3615.0	1348	Comedy	0	0	1	0	0	0	0	0	0	5	Bradley Cooper,Ed Helms,Zach Galifianakis,Justin Bartha,Ken Jeong,Paul Giamatti,Mike Tyson,Jeffrey Tambor,Jamie Chung	1239896474	794148310	964781354	915297014	3914123153	Todd Phillips	739016407	Warner Bros.	41314238101	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
6840.04888344	10499678.609	6.0	0.0	83.0	1535.0	1105	Family Adventure	0	0	0	0	0	0	0	0	0	18	John Goodman,Jim Broadbent,Hugh Laurie	326993391	325656272	335955800	0	988605464	Peter Hewitt	103394539	PolyGram	71361533	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
4633.0	1426870.0	19.0	0.0	119.0	308.0	43	Documentary	0	0	0	1	0	0	0	0	0	0		0	0	0	0	0	Michael Moore	234722028	Drafthouse	3199086	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
127276.884816	254552.214403	17.0	1500000.0	91.0	2.0	28	Drama	0	1	0	0	0	0	0	0	0	21	Rosario Dawson,Chloe Sevigny	0	0	0	0	0		0	Miramax	1057498044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
2620.54715037	5241.09430075	90.0	0.0	92.0	2.0	0	Horror Comedy	0	0	1	0	0	1	0	0	0	7		0	0	0	0	0		0	Indican	5224774	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
4004.74790484	4004.74790484	91.0	0.0	79.0	1.0	0	Documentary	0	0	0	1	0	0	0	0	0	2		0	0	0	0	0		0	Oscilloscope Pictures	12132109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	6921.15402717	90.0	0.0	100.0	1.0	0	Unknown	0	0	0	0	0	0	0	0	0	13		0	0	0	0	0		0	Kino	10505545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
15641.0337445	24273878.5284	4.0	0.0	114.0	1552.0	3045	Romance	0	0	0	0	0	0	0	1	0	25	Julia Roberts	814107058	0	0	0	814107058	Joel Schumacher	342507058	Fox	13597706368	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
2160.0	4320.0	73.0	0.0	90.0	2.0	0	Documentary	0	0	0	1	0	0	0	0	0	1	Jason Carrion,Samantha Close,Ivana Fred	0	0	0	0	0	Antonio Santini,Dan Sickles	0	Strand	16245481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
22836.3998413	616576.917316	29.0	0.0	40.0	27.0	48	IMAX	0	0	0	0	0	0	0	0	0	10		0	0	0	0	0		0	Buena Vista	33773415562	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8205.32273249	19380591.6348	2.0	65000000.0	156.0	2362.0	1371	Thriller	0	0	0	0	0	1	0	0	0	9	Jake Gyllenhaal,Robert Downey, Jr.,Mark Ruffalo,Brian Cox,Anthony Edwards,Chloe Sevigny	726559152	1175146818	4375201620	506695742	6783603333	David Fincher	500479081	Paramount	29887339784	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
3422.05708469	3422.05708469	0.0	0.0	94.0	1.0	0	Documentary	0	0	0	1	0	0	0	0	0	2		0	0	0	0	0		0	Kino Lorber	5899264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
4624.84280948	4624.84280948	78.0	0.0	108.0	1.0	0	Documentary	0	0	0	1	0	0	0	0	0	4		0	0	0	0	0		0	Rocky Mountain Pictures	30386030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
28363.6740553	73858840.9124	1.0	60000000.0	123.0	2604.0	6554	Period Horror	0	0	0	0	0	1	0	0	0	22	Tom Cruise,Brad Pitt,Kirsten Dunst,Antonio Banderas,Thandie Newton	2266993226	196306613	70039515	155854270	2689193625	Neil Jordan	144484058	Warner Bros.	15313989439	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1389.82312094	1389.82312094	107.0	0.0	89.0	1.0	0	Documentary	0	0	0	1	0	0	0	0	0	5		0	0	0	0	0		0	Variance Films	1714707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1769.15316152	5308.51317913	88.0	0.0	130.0	3.0	0	Foreign	0	0	0	0	1	0	0	0	0	5		0	0	0	0	0		0	Music Box Films	39633992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
